step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.446278,0.014205,1,1,1379,1378,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.460711,0.014199,1,1,1380,1379,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.475136,0.014201,1,1,1381,1380,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.489561,0.014566,1,1,1382,1381,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.504350,0.014196,1,1,1383,1382,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.518771,0.014198,1,1,1384,1383,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.533193,0.014222,1,1,1385,1384,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.547642,0.014330,1,1,1386,1385,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.562201,0.014208,1,1,1387,1386,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.576637,0.014193,1,1,1388,1387,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.591059,0.014212,1,1,1389,1388,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.605496,0.014202,1,1,1390,1389,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.619923,0.014189,1,1,1391,1390,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.634339,0.014222,1,1,1392,1391,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.648788,0.014213,1,1,1393,1392,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.663228,0.014186,1,1,1394,1393,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.677641,0.014187,1,1,1395,1394,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.692064,0.014193,1,1,1396,1395,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.706480,0.014173,1,1,1397,1396,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.720881,0.014209,1,1,1398,1397,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.735317,0.014229,1,1,1399,1398,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.749772,0.014197,1,1,1400,1399,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.764201,0.014229,1,1,1401,1400,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.778656,0.014215,1,1,1402,1401,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.793099,0.014182,1,1,1403,1402,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.807508,0.014197,1,1,1404,1403,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.821929,0.014285,1,1,1405,1404,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.836443,0.014261,1,1,1406,1405,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.850931,0.014219,1,1,1407,1406,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.865373,0.014198,1,1,1408,1407,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.879829,0.014308,1,1,1409,1408,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.894363,0.014202,1,1,1410,1409,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.908789,0.014205,1,1,1411,1410,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.923216,0.014208,1,1,1412,1411,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.937651,0.014221,1,1,1413,1412,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.952105,0.014191,1,1,1414,1413,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.966521,0.014197,1,1,1415,1414,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.980943,0.014211,1,1,1416,1415,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.995379,0.014211,1,1,1417,1416,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.009814,0.014216,1,1,1418,1417,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.024256,0.014210,1,1,1419,1418,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.038689,0.014183,1,1,1420,1419,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.053101,0.014197,1,1,1421,1420,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.067521,0.014216,1,1,1422,1421,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.081964,0.014231,1,1,1423,1422,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.096424,0.014202,1,1,1424,1423,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.110850,0.014217,1,1,1425,1424,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.125296,0.014173,1,1,1426,1425,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.139691,0.014198,1,1,1427,1426,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.154114,0.014316,1,1,1428,1427,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.168660,0.014210,1,1,1429,1428,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.183096,0.014210,1,1,1430,1429,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.197529,0.014208,1,1,1431,1430,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.211962,0.014305,1,1,1432,1431,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.226493,0.014200,1,1,1433,1432,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.240917,0.014215,1,1,1434,1433,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.255357,0.014208,1,1,1435,1434,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.269785,0.014197,1,1,1436,1435,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.284218,0.014210,1,1,1437,1436,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.298653,0.014180,1,1,1438,1437,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.313057,0.014189,1,1,1439,1438,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.327473,0.014188,1,1,1440,1439,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.341885,0.014186,1,1,1441,1440,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.356296,0.014203,1,1,1442,1441,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.370720,0.014217,1,1,1443,1442,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.385162,0.014200,1,1,1444,1443,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.399588,0.014227,1,1,1445,1444,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.414042,0.014199,1,1,1446,1445,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.428468,0.014203,1,1,1447,1446,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.442896,0.014204,1,1,1448,1447,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.457326,0.014209,1,1,1449,1448,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.471762,0.014245,1,1,1450,1449,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.486232,0.014294,1,1,1451,1450,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.500762,0.014181,1,1,1452,1451,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.515173,0.014233,1,1,1453,1452,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.529634,0.014191,1,1,1454,1453,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.544059,0.014275,1,1,1455,1454,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.558560,0.014223,1,1,1456,1455,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.573011,0.014194,1,1,1457,1456,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.587428,0.014219,1,1,1458,1457,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.601871,0.014201,1,1,1459,1458,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.616299,0.014186,1,1,1460,1459,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174615.630710,0.014207,1,1,1461,1460,0,0
